胴体長 [m],4
基準面積 [m2],2.68
主翼平均空力弦長 [m],1.072
翼幅 [m],2.88
抵抗係数@40deg.,0.14
X重心位置 [%BL],63.906
Y重心位置 [%BL],-0.154
Z重心位置 [%BL],0.409
Ixx [kg･m2],87.46
Iyy [kg･m2],1276.93
Ixzz [kg･m2],1283.52
Ixz [kg･m2],-35.24
フロントエアバッグ位置（ノーズ基準）[mm],1420.5
リアエアバッグ位置（ノーズ基準）[mm],3312
打ち上げ質量 [kg],1035.016248
LOX質量 [kg],162.33
LNG質量 [kg],56.93
残推薬量 [%],20
質量マージン [kg],0
エアバッグ側面高さ[m],0.552
